latitude,longitude,valid_time,lead_day,u10,v10,wind_speed,wind_direction,temperature_C,r2,pressure_hPa,tp
5.25,84.75,2026-08-28,1,6.1999025,7.172163,9.480438,220.84145,27.850006,81.5,1011.5017,2.0
5.25,85.0,2026-08-28,1,5.9499025,7.502163,9.575166,218.41765,27.950012,81.3,1011.47974,0.9375
5.25,85.25,2026-08-28,1,5.6299024,7.452163,9.339729,217.07005,27.950012,80.7,1011.56775,0.1875
5.25,85.5,2026-08-28,1,5.269902,7.522163,9.184487,215.01445,27.950012,79.8,1011.72375,0.125
5.25,85.75,2026-08-28,1,5.3999023,7.242163,9.033708,216.70897,28.050018,79.8,1011.73773,0.125
5.25,86.0,2026-08-28,1,5.599902,7.062163,9.012938,218.41246,28.050018,80.3,1011.62775,0.125
5.25,86.25,2026-08-28,1,5.2199025,7.382163,9.041223,215.264,28.050018,78.9,1011.77374,0.3125
5.25,86.5,2026-08-28,1,5.6899023,6.862163,8.914273,219.66452,28.149994,79.0,1011.6317,0.5625
5.25,86.75,2026-08-28,1,5.2599025,7.032163,8.781679,216.79568,28.149994,78.7,1011.71375,0.4375
5.25,87.0,2026-08-28,1,5.059902,7.492163,9.040748,214.0335,28.149994,78.3,1011.7698,0.25
5.25,87.25,2026-08-28,1,5.079902,7.552163,9.10168,213.92644,28.050018,78.6,1011.78174,1.0
5.25,87.5,2026-08-28,1,4.9799023,7.262163,8.805592,214.43971,27.950012,78.4,1011.8858,2.0625
5.25,87.75,2026-08-28,1,4.8199024,7.172163,8.64126,213.90227,27.649994,79.3,1012.0717,3.9375
5.25,88.0,2026-08-28,1,4.369902,7.4321632,8.621664,210.45433,27.649994,78.8,1012.09576,3.5
5.25,88.25,2026-08-28,1,3.8999023,7.6821632,8.615386,206.91495,28.050018,77.2,1012.04974,1.8125
5.25,88.5,2026-08-28,1,3.8899024,7.762163,8.682311,206.61713,28.149994,75.7,1011.9437,0.625
